channel,band,frequency_hz,gain_db,q,filter_type,profile,hardware_mic,hardware_amp,hardware_speakers
L,1,2520.0,1.5,1.260,PK,harman_wide_room,pixel_9_pro_calibrated,yamaha_rx_v673,q_acoustics_3020i
L,2,125.0,0.0,1.000,PK,harman_wide_room,pixel_9_pro_calibrated,yamaha_rx_v673,q_acoustics_3020i
L,3,315.0,0.0,1.000,PK,harman_wide_room,pixel_9_pro_calibrated,yamaha_rx_v673,q_acoustics_3020i
L,4,793.7,0.0,1.000,PK,harman_wide_room,pixel_9_pro_calibrated,yamaha_rx_v673,q_acoustics_3020i
L,5,2000.0,0.0,1.000,PK,harman_wide_room,pixel_9_pro_calibrated,yamaha_rx_v673,q_acoustics_3020i
L,6,5040.0,0.0,1.000,PK,harman_wide_room,pixel_9_pro_calibrated,yamaha_rx_v673,q_acoustics_3020i
L,7,12700.0,0.0,1.000,PK,harman_wide_room,pixel_9_pro_calibrated,yamaha_rx_v673,q_acoustics_3020i
R,1,198.4,-2.0,0.500,PK,harman_wide_room,pixel_9_pro_calibrated,yamaha_rx_v673,q_acoustics_3020i
R,2,2520.0,2.0,1.260,PK,harman_wide_room,pixel_9_pro_calibrated,yamaha_rx_v673,q_acoustics_3020i
R,3,315.0,0.0,1.000,PK,harman_wide_room,pixel_9_pro_calibrated,yamaha_rx_v673,q_acoustics_3020i
R,4,793.7,0.0,1.000,PK,harman_wide_room,pixel_9_pro_calibrated,yamaha_rx_v673,q_acoustics_3020i
R,5,2000.0,0.0,1.000,PK,harman_wide_room,pixel_9_pro_calibrated,yamaha_rx_v673,q_acoustics_3020i
R,6,5040.0,0.0,1.000,PK,harman_wide_room,pixel_9_pro_calibrated,yamaha_rx_v673,q_acoustics_3020i
R,7,12700.0,0.0,1.000,PK,harman_wide_room,pixel_9_pro_calibrated,yamaha_rx_v673,q_acoustics_3020i
